colorcontrast(rgb),colorcontrast(hsv),intensityContrast,i1,i2,tcontrast,tenergy,thomogeneity,tcorrelation,edgesG,result
419.722,87,0.563306,0.277784,0.84109,0.0782594,0.459174,0.973609,0.978324,82715.7,6.2161
358.423,10,0.126093,0.879341,0.753248,0.117924,0.155171,0.946534,0.986866,189048,5.5813
384.297,24,0.761984,0.887158,0.125174,0.0721659,0.416472,0.972522,0.992581,8450.12,4.9383
293.378,22,0.525808,0.69251,0.166701,0.183341,0.170929,0.92162,0.977473,63259.6,4.3208
292.747,23,0.569437,0.725009,0.155572,0.171115,0.284415,0.944348,0.966512,42214.1,5.85
119.11,1,0.281929,0.530457,0.812386,0.0834423,0.328638,0.958429,0.942933,155164,5.0147
285.058,100,0.0282791,0.573868,0.602148,0.20671,0.427508,0.948101,0.888328,125420,5.8345
259.932,31,0.605697,0.344173,0.94987,0.145521,0.163097,0.933797,0.970572,54013.7,5.2287
377.648,89,0.494712,0.461922,0.956633,0.248012,0.183095,0.906774,0.94653,162192,6.8094
200.287,53,0.108517,0.638502,0.529986,0.282578,0.281851,0.882207,0.755144,83169.6,5.5
323.034,2,0.409765,0.262286,0.672052,0.0817832,0.141302,0.960838,0.988365,131519,4.7897
303.576,21,0.33286,0.903018,0.570159,0.536837,0.128013,0.86197,0.901455,491341,5.8178
300.201,14,0.47048,0.676018,0.205538,0.243644,0.166402,0.90528,0.958746,221957,4.9547
218.075,56,0.172355,0.792461,0.620107,0.325663,0.213257,0.911545,0.828638,339612,3.2885
271.214,0,0.398878,0.867491,0.468613,0.0800957,0.347148,0.962744,0.977995,77227.1,4.575
165.405,8,0.171022,0.558526,0.387505,0.423148,0.117732,0.812588,0.836004,91216.2,4.9553
265.071,7,0.616732,0.124433,0.741165,0.0597384,0.282624,0.971034,0.988948,70354.3,4.3487
451.339,88,0.62502,0.311225,0.936245,0.236666,0.170472,0.918307,0.975916,358532,4.8942
494.961,163,0.658392,0.138776,0.797168,0.162187,0.469732,0.963964,0.982802,38435.4,3.9752
301.51,4,0.235462,0.898623,0.663161,0.07591,0.198169,0.97094,0.988868,317339,5.3639
218.603,13,0.364842,0.379497,0.744339,0.167803,0.326008,0.939141,0.927178,23363.4,4.4711
252.04,1,0.343886,0.702634,0.358747,0.244566,0.183565,0.924533,0.934534,211510,5.6974
214.292,18,0.241219,0.757427,0.516208,0.133627,0.170164,0.936986,0.962053,217444,3.4146
477.383,17,0.167248,0.825795,0.993043,0.0280343,0.900106,0.993486,0.985893,12303.9,5.9155
260.441,9,0.43107,0.767931,0.336861,0.30867,0.183686,0.916823,0.935862,251293,6.8373
219.024,40,0.123045,0.759522,0.636476,0.0810241,0.323393,0.963502,0.953797,198744,5.6421
328.574,0,0.429512,0.544438,0.114927,0.230286,0.165412,0.900599,0.969319,572025,4.5056
501.808,30,0.269734,0.985803,0.716069,0.160291,0.461575,0.956056,0.985382,302956,5.7341
490.351,75,0.418495,0.521871,0.940366,0.103905,0.258892,0.980571,0.992204,182506,5.525
134.89,9,0.357965,0.124846,0.482811,0.063492,0.349786,0.969177,0.96477,42804.8,4.9454
258.23,3,0.164057,0.875075,0.711019,0.0767131,0.245485,0.961803,0.979897,72952.7,4.6578
288.544,7,0.508917,0.182219,0.691136,0.118072,0.184762,0.950613,0.984011,286922,5.7659
269.648,1,0.366978,0.351529,0.718507,0.466621,0.0840627,0.832201,0.926648,136572,5.7383
493.625,0,0.642558,0.340534,0.983092,0.022622,0.787248,0.989759,0.99432,0,4.9375
267.202,54,0.532086,0.114473,0.64656,0.186661,0.431861,0.935514,0.950214,488807,6.7333
327.45,4,0.0881885,0.80397,0.892158,0.317507,0.27589,0.920944,0.951911,146231,4.7677
288.298,2,0.383205,0.700288,0.317083,0.874273,0.150165,0.880204,0.848554,3299.07,6.5588
338.158,7,0.69266,0.894447,0.201787,0.086101,0.245001,0.964437,0.985465,15237.5,5.2045
292.372,0,0.382185,0.511014,0.128829,0.335012,0.327015,0.905225,0.950456,540,6.3187
238.011,17,0.171372,0.820297,0.991669,0.0447707,0.2681,0.978597,0.991745,29704.6,5.0909
325.847,54,0.395699,0.672261,0.276562,0.656957,0.154921,0.784008,0.795433,340374,5.0273
246.01,2,0.350126,0.573368,0.923494,0.635043,0.204564,0.837421,0.815871,155912,4.3017
280.076,28,0.688904,0.759598,0.0706933,0.12381,0.290826,0.959018,0.979083,23563.2,5.0989
304.821,80,0.617803,0.738758,0.120955,0.216078,0.289799,0.947818,0.919101,204453,5.5907
456.33,92,0.458366,0.91146,0.453094,0.134099,0.332033,0.976226,0.954262,180483,5.995
178.272,3,0.285498,0.454333,0.739832,0.157523,0.174511,0.939434,0.954138,93533.9,4.8525
379.715,0,0.705678,0.192281,0.897959,0.0998566,0.457208,0.979334,0.962527,129166,5.1106
332.94,1,0.57518,0.229929,0.805108,0.234468,0.182215,0.922399,0.969113,72047.3,5.178
148.524,9,0.22777,0.20802,0.435789,0.110503,0.294519,0.954432,0.941808,126701,5.462
194.526,2,0.292003,0.585221,0.877225,0.126028,0.190763,0.937826,0.96217,400554,4.9477
380.004,99,0.412439,0.31937,0.731809,0.782768,0.0918754,0.821913,0.911034,482943,5.8426
256.089,1,0.340363,0.766923,0.426559,0.228281,0.148161,0.9186,0.952365,73850.7,5.6377
482.925,7,0.60235,0.18106,0.78341,0.314418,0.138918,0.919245,0.976599,774855,5.3132
400.689,43,0.255694,0.76302,0.507326,0.114789,0.281567,0.953988,0.988517,69899.8,6
341.497,26,0.401761,0.76436,0.362599,0.621209,0.069096,0.789255,0.90287,201811,5.1484
315.972,12,0.527753,0.754794,0.227041,0.436056,0.12193,0.901084,0.947817,235795,5.8618
248.274,0,0.348025,0.465333,0.117308,0.318096,0.233217,0.904544,0.9114,728865,6.096
483.432,27,0.59574,0.882671,0.28693,0.11815,0.145932,0.946043,0.991777,235055,4.7755
402.171,85,0.561729,0.655186,0.0934569,0.129547,0.582085,0.958753,0.981509,348,4.7701
290,85,0.457607,0.890273,0.432666,0.133846,0.165505,0.939761,0.96847,255658,5.1176
504.915,70,0.658081,0.904944,0.246863,0.0553297,0.510079,0.98553,0.992175,439983,4.6484
236.431,73,0.261398,0.764276,0.502878,0.1113,0.170224,0.947316,0.968745,266643,4.2426
492.617,24,0.590877,0.862101,0.271224,0.166456,0.26196,0.947399,0.956755,61784.8,5.9015
321.519,168,0.251598,0.437141,0.688739,0.0872099,0.181897,0.972377,0.987519,257395,6.2598
344.734,3,0.598833,0.290843,0.889676,0.0745121,0.455357,0.981436,0.97001,118147,5.8272
389.829,21,0.521043,0.757917,0.236874,0.223652,0.156869,0.922916,0.97438,398203,6.5253
373.288,89,0.438658,0.767281,0.328623,0.403973,0.249758,0.902907,0.922042,25450.6,6.4882
376.994,5,0.461455,0.933446,0.471991,0.152228,0.226453,0.951992,0.982164,228360,5.2228
408.37,4,0.536816,0.919307,0.38249,0.324455,0.187417,0.94137,0.969267,587456,6.9118
422.877,92,0.208884,0.875223,0.666338,0.114469,0.293053,0.959587,0.968725,56497.4,5.8294
